5,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2023 and January-March 2023"
11,"d","California",990000,1250000,210000,17,210000,135000,11
11,"d","Colorado",5500,10500,370,4,200,-,"(Z)"
11,"d","Connecticut",3200,4000,100,3,120,-,-
11,"d","Florida",310000,310000,24000,8,28000,10500,3
11,"d","Georgia",117000,125000,28000,22,34000,2000,2
11,"d","Idaho",195000,195000,23000,12,4200,760,"(Z)"
11,"d","",,,,,,,
11,"d","Illinois",10000,10000,2300,23,800,300,3
11,"d","Indiana",8000,9500,410,4,510,-,"(Z)"
11,"d","Iowa",56000,59000,1900,3,2700,-,"(Z)"
11,"d","Kansas",2400,4000,270,7,170,10,"(Z)"
11,"d","Kentucky",6500,6500,660,10,1100,10,"(Z)"
11,"d","Louisiana",44000,44000,8500,19,5500,2300,5
11,"d","Maine",1400,1400,300,21,400,140,10
11,"d","Maryland",5000,5000,660,13,1700,920,18
11,"d","Massachusetts",4800,4800,650,14,750,640,13
11,"d","Michigan",67000,90000,3000,3,10,-,-
11,"d","",,,,,,,
11,"d","Minnesota",25000,85000,830,1,900,210,"(Z)"
11,"d","Mississippi",28000,42000,3700,9,10500,1500,4
11,"d","Missouri",9500,11000,1100,10,600,40,"(Z)"
11,"d","Montana",36000,41000,50,"(Z)",60,-,"(Z)"
11,"d","Nebraska",17500,19500,1200,6,-,-,-
11,"d","New Jersey",12500,14500,1200,8,990,320,2
11,"d","New Mexico",4300,4300,1200,28,10,-,-
11,"d","New York",40000,40000,2300,6,140,350,1
11,"d","North Carolina",25000,27000,5500,20,5000,3100,11
11,"d","North Dakota",65000,78000,8500,11,-,-,-
11,"d","",,,,,,,
11,"d","Ohio",15000,27000,2100,8,600,150,1
11,"d","Oklahoma",17500,18000,2200,12,60,320,2
11,"d","Oregon",90000,101000,8000,8,1300,5500,5
11,"d","Pennsylvania",24000,26000,2800,11,130,600,2
11,"d","South Carolina",14000,14000,870,6,2800,820,6
11,"d","South Dakota",68000,78000,2000,3,40,50,"(Z)"
11,"d","Tennessee",11500,11500,1700,15,830,170,1
11,"d","Texas",200000,290000,28000,10,77000,46000,16
11,"d","Utah",10000,17000,980,6,460,120,1
11,"d","Vermont",7000,8000,230,3,70,20,"(Z)"
11,"d","",,,,,,,
11,"d","Virginia",7000,9500,1200,13,640,200,2
11,"d","Washington",45000,107000,6500,6,3500,570,1
11,"d","West Virginia",6000,7500,640,9,300,10,"(Z)"
11,"d","Wisconsin",31000,55000,1600,3,600,120,"(Z)"
11,"d","Wyoming",1900,13000,490,4,-,10,"(Z)"
11,"d","",,,,,,,
11,"d","Other States 5/",17350,18730,2610,14,1450,660,4
11,"d","",,,,,,,
11,"d","United States",2705350,"(X)",396820,15,404100,215070,8
11,"c",""
11,"f","-  Represents zero."
11,"f","(X)  Not applicable."
11,"f","(Z)  Less than half of the unit shown."
11,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
11,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
11,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
11,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
11,"f","5/ Includes data for States not published in this table."
22,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
22,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2024 and April-June 2024"
22,"h","","","","","","","",""
22,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
22,"h","State","April 1","","","","","",""
22,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
22,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
22,"h","","","","","","","",""
22,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
22,"d","Alabama",12500,13000,1300,10,2900,2700,21
22,"d","Arizona",30000,32000,13500,42,18500,7000,22
22,"d","Arkansas",19500,21000,2800,13,5000,430,2
22,"d","California",890000,930000,54000,6,148000,113000,12
22,"d","Colorado",10500,18500,290,2,1100,450,2
22,"d","Connecticut",4100,4100,140,3,960,770,19
22,"d","Florida",280000,285000,42000,15,60000,11000,4
22,"d","Georgia",131000,133000,13000,10,16000,10500,8
22,"d","Idaho",112000,130000,8000,6,26000,29000,22
22,"d","",,,,,,,
22,"d","Illinois",8500,8500,800,9,4000,1700,20
22,"d","Indiana",9500,10000,420,4,3200,1000,10
22,"d","Iowa",45000,46000,3300,7,6000,9000,20
22,"d","Kansas",3900,6000,480,8,2100,960,16
22,"d","Kentucky",7000,17000,1200,7,1000,600,4
22,"d","Louisiana",36000,36000,1800,5,3700,300,1
22,"d","Maine",1500,9500,850,9,1100,370,4
22,"d","Maryland",6000,6000,320,5,2900,700,12
22,"d","Massachusetts",4900,5500,220,4,790,630,11
22,"d","Michigan",87000,95000,8000,8,21000,15500,16
22,"d","",,,,,,,
22,"d","Minnesota",86000,112000,1800,2,20000,11000,10
22,"d","Mississippi",49000,49000,5000,10,13500,6000,12
22,"d","Missouri",10500,10500,540,5,2000,480,5
22,"d","Montana",20000,92000,520,1,11000,10000,11
22,"d","Nebraska",11000,24000,1200,5,10500,9500,40
22,"d","New Jersey",14500,15000,710,5,2300,640,4
22,"d","New Mexico",2000,2000,290,15,1100,540,27
22,"d","New York",31000,50000,1600,3,3500,3000,6
22,"d","North Carolina",26000,26000,1700,7,6000,5000,19
22,"d","North Dakota",49000,395000,16000,4,7000,22000,6
22,"d","",,,,,,,
22,"d","Ohio",26000,26000,660,3,4900,4700,18
22,"d","Oklahoma",13000,15500,1300,8,7500,4100,26
22,"d","Oregon",95000,105000,9000,9,21000,13500,13
22,"d","Pennsylvania",22000,25000,1600,6,5500,1500,6
22,"d","South Carolina",13500,14500,430,3,2200,4900,34
22,"d","South Dakota",16500,183000,5500,3,16500,1900,1
22,"d","Tennessee",10500,12000,800,7,1400,670,6
22,"d","Texas",285000,295000,43000,15,98000,173000,59
22,"d","Utah",16500,20000,1500,8,4400,2000,10
22,"d","Vermont",8000,8000,130,2,270,320,4
22,"d","",,,,,,,
22,"d","Virginia",9000,9500,450,5,3000,2000,21
22,"d","Washington",106000,128000,35000,27,20000,24000,19
22,"d","West Virginia",6500,6500,380,6,1100,520,8
22,"d","Wisconsin",55000,67000,3800,6,20000,11000,16
22,"d","Wyoming",12000,21000,1400,7,7500,1800,9
22,"d","",,,,,,,
22,"d","Other States 5/",16970,23710,1460,6,3000,2110,9
22,"d","",,,,,,,
22,"d","United States",2709370,"(X)",288190,11,617420,521790,19
22,"c",""
22,"f","(X)  Not applicable."
22,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
22,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
22,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
22,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
22,"f","5/ Includes data for States not published in this table."
2,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Colony Health Stressors with Five or More Colonies – States and United States: January-March 2023"
2,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
2,"h","","","","","","",""
2,"h","","Varroa","Other pests","","","",""
2,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
2,"h","","","","","","",""
2,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
2,"d","Alabama",31.9,18.3,0.7,1.5,9.9,8.3
2,"d","Arizona",72.9,-,-,"(Z)","(Z)",0.5
2,"d","Arkansas",62.2,51.4,5.3,24.7,2.0,5.9
2,"d","California",48.7,18.2,11.3,14.1,23.0,16.7
2,"d","Colorado",1.8,-,-,"(Z)",0.9,1.4
2,"d","Connecticut",7.0,1.7,0.6,0.1,3.3,5.9
2,"d","Florida",28.1,11.1,3.5,5.6,4.2,8.5
2,"d","Georgia",31.2,1.3,"(Z)",7.7,1.7,7.4
2,"d","Idaho",12.1,2.8,"(Z)",5.3,1.2,6.0
2,"d","",,,,,,
2,"d","Illinois",21.5,9.0,0.6,0.9,10.5,10.0
2,"d","Indiana",24.8,4.5,"(Z)",-,6.0,2.3
2,"d","Iowa",26.9,1.0,1.3,2.2,1.4,3.2
2,"d","Kansas",20.9,2.7,0.8,5.4,8.9,2.7
2,"d","Kentucky",10.9,5.9,"(Z)",1.7,3.2,9.4
2,"d","Louisiana",48.2,10.0,2.4,2.0,2.9,6.0
2,"d","Maine",16.8,-,-,1.5,0.8,2.5
2,"d","Maryland",16.4,4.7,2.5,-,7.3,3.9
2,"d","Massachusetts",9.6,2.7,1.5,-,5.2,1.8
2,"d","Michigan",6.5,0.6,0.5,1.2,1.1,1.7
2,"d","",,,,,,
2,"d","Minnesota",9.2,"(Z)",0.8,"(Z)",1.3,1.4
2,"d","Mississippi",19.6,9.6,1.1,7.5,15.4,2.7
2,"d","Missouri",12.7,4.3,-,-,3.6,9.5
2,"d","Montana",0.6,-,-,"(Z)",-,"(Z)"
2,"d","Nebraska",20.2,"(Z)","(Z)",-,4.3,"(Z)"
2,"d","New Jersey",20.0,6.7,"(Z)",-,1.7,3.8
2,"d","New Mexico",84.2,"(Z)",64.8,1.0,0.9,1.4
2,"d","New York",33.5,10.3,22.6,1.4,3.9,4.9
2,"d","North Carolina",22.5,6.1,"(Z)","(Z)",4.5,2.5
2,"d","North Dakota",32.0,-,-,"(Z)",0.6,-
2,"d","",,,,,,
2,"d","Ohio",37.8,10.6,-,11.5,20.1,4.3
2,"d","Oklahoma",4.7,1.1,-,"(Z)",2.8,"(Z)"
2,"d","Oregon",28.7,13.1,6.0,"(Z)",11.4,2.0
2,"d","Pennsylvania",20.9,4.6,2.5,0.7,2.0,7.7
2,"d","South Carolina",32.2,7.3,-,"(Z)",10.4,7.4
2,"d","South Dakota",2.7,-,"(Z)","(Z)",1.8,1.0
2,"d","Tennessee",39.8,5.5,0.9,1.0,7.0,4.9
2,"d","Texas",11.3,6.7,"(Z)",7.6,9.7,1.1
2,"d","Utah",32.4,19.4,19.0,19.0,2.8,2.0
2,"d","Vermont",3.1,"(Z)","(Z)","(Z)",-,1.6
2,"d","",,,,,,
2,"d","Virginia",22.6,10.5,"(Z)","(Z)",4.2,4.8
2,"d","Washington",12.1,2.4,2.3,2.5,6.4,4.5
2,"d","West Virginia",14.5,2.8,1.0,1.1,2.0,3.4
