19,"d","South Carolina",13,39,507,91,5.00,2535
19,"d","",,,,,,
19,"d","South Dakota",185,39,7215,2814,2.57,18543
19,"d","Tennessee",9,47,423,102,5.65,2390
19,"d","Texas",157,53,8321,166,3.27,27210
19,"d","Utah",26,46,1196,120,3.00,3588
19,"d","Vermont",6,47,282,121,6.75,1904
19,"d","Virginia",7,38,266,45,7.94,2112
19,"d","Washington",86,32,2752,660,3.18,8751
19,"d","West Virginia",7,39,273,98,5.91,1613
19,"d","Wisconsin",53,55,2915,816,3.22,9386
19,"d","Wyoming",30,45,1350,230,2.65,3578
19,"d","",,,,,,
19,"d","Other States 5/ 6/",53,63,3316,501,4.03,13363
19,"d","",,,,,,
19,"d","United States 6/ 7/",2667,47.0,125331,23181,3.01,377246
19,"c",""
19,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
19,"f","2/ Stocks held by producers."
19,"f","3/ Average price per pound based on expanded sales."
19,"f","4/ Value of production is equal to production multiplied by average price per pound."
19,"f","5/ Includes data for States not published in this table."
19,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
19,"f","7/ United States value of production will not equal summation of States."
20,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
20,"t","Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2023"
20,"t","[Colonies which produced honey in more than one State were counted in each State]"
20,"h","","","","","","",""
20,"h","","Honey","Yield","","","Average","Value"
20,"h","State","producing","per","Production","Stocks","price per","of"
20,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
20,"h","","","","","","",""
20,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(dollars)","(1,000 dollars)"
20,"d","Alabama",10,40,400,120,5.45,2180
20,"d","Arizona",34,42,1428,600,2.23,3184
20,"d","Arkansas",19,46,874,131,3.20,2797
20,"d","California",324,42,13608,5035,2.27,30890
20,"d","Colorado",25,41,1025,195,3.69,3782
20,"d","Florida",147,32,4704,706,2.95,13877
20,"d","Georgia",77,33,2541,152,3.43,8716
20,"d","Idaho",92,32,2944,442,1.63,4799
20,"d","Illinois",9,49,441,146,7.05,3109
20,"d","",,,,,,
20,"d","Indiana",9,53,477,329,4.34,2070
20,"d","Iowa",40,66,2640,739,2.99,7894
20,"d","Kansas",5,52,260,86,5.41,1407
20,"d","Kentucky",10,30,300,84,6.21,1863
20,"d","Louisiana",32,45,1440,101,3.90,5616
20,"d","Maine",12,18,216,41,4.46,963
20,"d","Michigan",70,55,3850,924,2.84,10934
20,"d","Minnesota",106,58,6148,861,1.99,12235
20,"d","Mississippi",19,42,798,367,3.02,2410
20,"d","Missouri",9,43,387,101,4.81,1861
20,"d","",,,,,,
20,"d","Montana",114,85,9690,3392,2.00,19380
20,"d","Nebraska",33,48,1584,554,2.26,3580
20,"d","New Jersey",15,36,540,54,7.16,3866
20,"d","New York",41,58,2378,761,4.59,10915
20,"d","North Carolina",11,44,484,179,6.02,2914
20,"d","North Dakota",511,75,38325,9198,1.77,67835
20,"d","Ohio",20,65,1300,546,5.23,6799
20,"d","Oregon",90,37,3330,1099,2.71,9024
20,"d","Pennsylvania",20,55,1100,638,4.96,5456
20,"d","South Carolina",11,52,572,114,4.53,2591
20,"d","",,,,,,
20,"d","South Dakota",212,87,18444,12542,2.02,37257
20,"d","Tennessee",12,40,480,77,6.00,2880
20,"d","Texas",111,35,3885,505,3.01,11694
20,"d","Utah",24,42,1008,202,1.92,1935
20,"d","Vermont",6,49,294,76,5.09,1496
20,"d","Virginia",5,39,195,82,8.58,1673
20,"d","Washington",83,27,2241,740,2.71,6073
20,"d","West Virginia",6,51,306,177,6.35,1943
20,"d","Wisconsin",62,45,2790,1004,3.02,8426
20,"d","Wyoming",27,78,2106,400,1.64,3454
20,"d","",,,,,,
20,"d","Other States 5/ 6/",46,66,3038,516,4.68,14218
20,"d","",,,,,,
20,"d","United States 6/ 7/",2509,55.2,138571,44016,2.52,349199
20,"c",""
20,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
20,"f","2/ Stocks held by producers."
20,"f","3/ Average price per pound based on expanded sales."
20,"f","4/ Value of production is equal to production multiplied by average price per pound."
20,"f","5/ Includes data for States not published in this table."
20,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
20,"f","7/ United States value of production will not equal summation of States."
18,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
18,"t","Honey Price by Color Class – United States: 2022 and 2023"
18,"h","","","","","","",""
18,"h","","Co-op and private","Co-op and private","Retail","Retail","All","All"
18,"h","Color class","","","","","",""
18,"h","","2022","2023","2022","2023","2022","2023"
18,"h","","","","","","",""
18,"u","","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)"
18,"d","Water white, extra white, white",2.70,1.99,5.57,5.87,2.81,2.09
18,"d","",,,,,,
18,"d","Extra light amber",2.66,2.17,5.62,5.78,2.78,2.33
18,"d","",,,,,,
18,"d","Light amber, amber, dark amber",2.87,2.63,6.09,6.78,3.23,3.20
18,"d","",,,,,,
18,"d","All other honey, area specialties",3.41,3.08,7.91,8.51,4.16,4.30
18,"d","",,,,,,
18,"d","All honey",2.77,2.23,6.02,6.55,3.01,2.52
18,"c",""
27,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
27,"t","Income and Expenditures – United States: 2022 and 2023"
27,"t","[Represents income and expenditures on the total number of colonies, regardless of whether honey was harvested]"
27,"h","","",""
27,"h","Item","2022","2023"
27,"h","","",""
27,"u","","(1,000 dollars)","(1,000 dollars)"
27,"d","Income",,
27,"d","Pollination income",241042,254945
27,"d","Other income 1/",55188,57720
27,"d","",,
27,"d","Expenditures",,
27,"d","Varroa control and treatment",13724,15112
27,"d","Other colony issues 2/",5096,4967
27,"d","Feed 3/",44517,46868
27,"d","Foundation",6934,5753
27,"d","Hives/woodenware",10835,10496
27,"c",""
27,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
27,"f","2/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
27,"f","3/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
28,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
28,"t","Queen, Package, and Nuc Prices Paid – United States: 2022 and 2023"
28,"t","[Represents prices paid on the total number of colonies, regardless of whether honey was harvested]"
28,"h","","",""
28,"h","Item","2022","2023"
28,"h","","",""
28,"u","","(dollars)","(dollars)"
28,"d","Queen",22,19
28,"d","Package",98,91
28,"d","Nuc",129,120
28,"c",""
25,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
25,"t","Apiary Workers – United States: 2022 and 2023"
25,"t","[Represents number of paid and unpaid workers that worked with colonies, regardless of whether honey was harvested]"
25,"h","","",""
25,"h","Item","2022","2023"
25,"h","","",""
25,"u","","(workers)","(workers)"
25,"d","Apiary workers",25000,25000
25,"c",""
34,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
34,"t","Reliability of Honey Estimates"
34,"t","[Based on data for the previous ten years]"
34,"h","","","","","","","",""
34,"h","","Root mean","90 percent","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate"
34,"h","","square error","confidence","","","","",""
34,"h","","","level","","","","",""
34,"h","Item","","","","","","Years","Years"
34,"h","","","","","","","",""
34,"h","","","","Average","Smallest","Largest","Below latest","Above latest"
34,"h","","","","","","","",""
34,"u","","(percent)","(percent)","(1,000)","(1,000)","(1,000)","(number)","(number)"
34,"d","Honey producing colonies",0.3,0.6,5,-,25,7,-
34,"d","",,,,,,,
34,"d","Honey production",0.5,0.8,394,-,1660,7,-
34,"d","",,,,,,,
34,"c",""
34,"f","-  Represents zero."
